股票代码,股票名称,总股本(股),流通股本(股),上市日期
002035,华帝股份,881623124,781916725,2004-09-01
002036,联创电子,550787263,394296822,2004-09-03
002037,久联发展,327368160,327368160,2004-09-08
002038,双鹭药业,684900000,567916621,2004-09-09
002039,黔源电力,305398662,305370538,2005-03-03
002040,南 京 港,372282154,306748746,2005-03-25
002041,登海种业,880000000,873862143,2005-04-18
002042,华孚时尚,1519375555,1517613805,2005-04-27
002043,兔 宝 宝,830268603,693017959,2005-05-10
002044,美年健康,3121566956,2344564546,2005-05-18
002045,国光电器,468383913,415685775,2005-05-23
002046,轴研科技,524349078,340565970,2005-05-26
002047,宝鹰股份,1341296921,1263063110,2005-05-31
002048,宁波华翔,626227314,460637335,2005-06-03
002049,紫光国微,606817968,606243645,2005-06-06
002050,三花智控,2130646835,1860751615,2005-06-07
002051,中工国际,1112673216,1111048080,2006-06-19
002052,同洲电子,745959694,745953215,2006-06-27
002053,云南能投,558329336,371702206,2006-06-27
002054,德美化工,419230828,312619636,2006-07-25
002055,得润电子,479694096,425814263,2006-07-25
002056,横店东磁,1643600000,1642410335,2006-08-02
002057,中钢天源,383525184,319642737,2006-08-02
002058,威 尔 泰,143448332,143448332,2006-08-02
002059,云南旅游,730792576,730792576,2006-08-10
002060,粤 水 电,1202262058,1201671831,2006-08-10
002061,浙江交科,1375638998,559429805,2006-08-16
002062,宏润建设,1102500000,958605707,2006-08-16
002063,远光软件,849403251,755058882,2006-08-23
002064,华峰氨纶,1676800000,1556101000,2006-08-23
002065,东华软件,3115482375,2807608139,2006-08-23
002066,瑞泰科技,231000000,231000000,2006-08-23
002067,景兴纸业,1128451000,974901000,2006-09-15
002068,黑猫股份,727063596,606993221,2006-09-15
002069,獐子岛,711112194,688740444,2006-09-28
002070,*ST众和,635258156,635258156,2006-10-12
002071,长城影视,525429878,521660725,2006-10-12
002072,凯瑞德,176000000,166856866,2006-10-18
002073,软控股份,933986674,782722378,2006-10-18
002074,国轩高科,1136650819,1008447079,2006-10-18
002075,沙钢股份,2206771772,2206770647,2006-10-25
002076,雪 莱 特,777902546,445373263,2006-10-25
002077,大港股份,580348513,531720927,2006-11-16
002078,太阳纸业,2592600174,2531295424,2006-11-16
002079,苏州固锝,727971487,726208047,2006-11-16
002080,中材科技,1290864296,640000000,2006-11-20
002081,金 螳 螂,2643308689,2576161923,2006-11-20
002082,万邦德,238000000,238000000,2006-11-20
002083,孚日股份,908000005,867298945,2006-11-24
002084,海鸥住工,506392628,497914834,2006-11-24
002085,万丰奥威,2186879678,2113735508,2006-11-28
002086,东方海洋,756350000,475617200,2006-11-28
002087,新野纺织,816794335,815638642,2006-11-30
002088,鲁阳节能,361958033,208792678,2006-11-30
002089,新 海 宜,1374669616,933229193,2006-11-30
002090,金智科技,237802904,231484548,2006-12-08
002091,江苏国泰,1570774045,972230686,2006-12-08
002092,中泰化学,2146449598,2034483444,2006-12-08
