股票代码,股票名称,总股本(股),流通股本(股),上市日期
601628,中国人寿,28264705000,28264705000,2007-01-09
601633,长城汽车,9127269000,9127269000,2011-09-28
601636,旗滨集团,2688359900,2603869300,2011-08-12
601666,平煤股份,2361165000,2361165000,2006-11-23
601668,中国建筑,41985174500,41624384600,2009-07-29
601669,中国电建,15299035000,11144401500,2011-10-18
601677,明泰铝业,589876400,574621400,2011-09-19
601678,滨化股份,1544400000,1544400000,2010-02-23
601688,华泰证券,8251500000,7162768800,2010-02-26
601689,拓普集团,727577800,244656100,2015-03-19
601699,潞安环能,2991409200,2991409200,2006-09-22
601700,风范股份,1133232000,1133232000,2011-01-18
601717,郑煤机,1732471400,1726359600,2010-08-03
601718,际华集团,4391629400,4391629400,2010-08-16
601727,上海电气,14725180700,12963026800,2008-12-05
601766,中国中车,28698864100,27288758300,2008-08-18
601777,力帆股份,1313757600,1264095000,2010-11-25
601788,光大证券,4610787600,4610787600,2009-08-18
601789,宁波建工,976080000,976080000,2011-08-16
601798,*ST蓝科,354528200,354528200,2011-06-22
601799,星宇股份,276155200,276155200,2011-02-01
601800,中国交建,16174735400,16174735400,2012-03-09
601801,皖新传媒,1989204700,1989204700,2010-01-18
601808,中海油服,4771592000,4771592000,2007-09-28
601811,新华文轩,1233841000,641031500,2016-08-08
601818,光大银行,52489264600,52489264600,2010-08-18
601828,美凯龙,3550000000,988896000,2018-01-17
601838,成都银行,3612251300,361225100,2018-01-31
601857,中国石油,183020977800,183020977800,2007-11-05
601858,中国科传,790500000,190500000,2017-01-18
601866,中远海发,11683125000,11683125000,2007-12-12
601869,长飞光纤,757905100,427357300,2018-07-20
601872,招商轮船,6066612700,4720921800,2006-12-01
601877,正泰电器,2151408500,1737183900,2010-01-21
601878,浙商证券,3333333400,1208508200,2017-06-26
601880,大连港,12894536000,12894536000,2010-12-06
601881,中国银河,10137258800,4919515500,2017-01-23
601882,海天精工,522000000,125940000,2016-11-07
601886,江河集团,1154050000,1154050000,2011-08-18
601888,中国国旅,1952475500,1952475500,2009-10-15
601890,亚星锚链,959400000,959400000,2010-12-28
601898,中煤能源,13258663400,13258663400,2008-02-01
601899,紫金矿业,23031218900,22612665800,2008-04-25
601900,南方传媒,895876600,245950000,2016-02-15
601901,方正证券,8232101400,8232101400,2011-08-10
601908,京运通,1995297700,1993017700,2011-09-08
601918,新集能源,2590541800,2590541800,2007-12-19
601919,中远海控,10216274400,10216274400,2007-06-26
601928,凤凰传媒,2544900000,2544900000,2011-11-30
601929,吉视传媒,3110879500,3110879500,2012-02-23
601933,永辉超市,9570462100,7968291300,2010-12-15
601939,建设银行,250010977500,250010977500,2007-09-25
601949,中国出版,1822500000,401005500,2017-08-21
601952,苏垦农发,1378000000,409303600,2017-05-15
601958,金钼股份,3226604400,3226604400,2008-04-17
601965,中国汽研,970132400,961179900,2012-06-11
601966,玲珑轮胎,1200003000,394403000,2016-07-06
601968,宝钢包装,833333300,833333300,2015-06-11
601969,海南矿业,1954720300,1954720300,2014-12-09
601985,中国核电,15565430000,15565430000,2015-06-10
601988,中国银行,294387791200,294387791200,2006-07-05
601989,中国重工,22879793200,18361665100,2009-12-16
601990,南京证券,2749019500,275020000,2018-06-13
601991,大唐发电,18506710500,16104981399,2006-12-20
601992,金隅集团,10677771100,10672923100,2011-03-01
601996,丰林集团,1149480800,944984000,2011-09-29
601997,贵阳银行,2298591900,1238965100,2016-08-16
601998,中信银行,48934796600,46787327000,2007-04-27
601999,出版传媒,550914700,550914700,2007-12-21
603000,人民网,1105691100,1105691100,2012-04-27
603001,奥康国际,400980000,400980000,2012-04-26
603002,宏昌电子,614411700,609998200,2012-05-18
603003,龙宇燃油,416532400,416532400,2012-08-17
603005,晶方科技,234192000,174631200,2014-02-10
603006,联明股份,192324600,70968600,2014-06-30
603007,花王股份,341077000,194362000,2016-08-26
603008,喜临门,394857800,319560000,2012-07-17
603009,北特科技,359114700,320665100,2014-07-18
603010,万盛股份,253073100,220000000,2014-10-10
603011,合锻智能,453159800,412247000,2014-11-07
603012,创力集团,636560000,636560000,2015-03-20
603013,亚普股份,510000000,60000000,2018-05-09
603015,弘讯科技,407200000,401901000,2015-03-03
603016,新宏泰,148160000,70460000,2016-07-01
603017,中衡设计,275178700,275114700,2014-12-31
603018,中设集团,313797500,308881200,2014-10-13
603019,中科曙光,643024000,643024000,2014-11-06
603020,爱普股份,320000000,320000000,2015-03-25
603021,山东华鹏,319948100,315575900,2015-04-23
603022,新通联,200000000,200000000,2015-05-18
603023,威帝股份,360000000,360000000,2015-05-27
603025,大豪科技,921890700,909862800,2015-04-22
603026,石大胜华,202680000,202680000,2015-05-29
603027,千禾味业,326200000,134961800,2016-03-07
603028,赛福天,220800000,115568700,2016-03-31
603029,天鹅股份,93340000,36525500,2016-04-27
603030,全筑股份,538404300,533979600,2015-03-20
603031,安德利,112000000,55862000,2016-08-22
603032,德新交运,160008000,78408000,2017-01-05
603033,三维股份,126980000,55300000,2016-12-07
603035,常熟汽饰,280000000,172214400,2017-01-05
603036,如通股份,203360000,50840000,2016-12-09
603037,凯众股份,105922700,61657700,2017-01-20
603038,华立股份,93998799,37596600,2017-01-16
603039,泛微网络,102519500,39900800,2017-01-13
603040,新坐标,79507100,31761200,2017-02-09
603041,美思德,100948000,46525000,2017-03-30
603042,华脉科技,138670000,101028600,2017-06-02
603043,广州酒家,403996200,125507200,2017-06-27
603045,福达合金,98300000,24580000,2018-05-17
603050,科林电气,162245500,80314500,2017-04-14
603055,台华新材,547600000,100775600,2017-09-21
603056,德邦股份,960000000,100000000,2018-01-16
603058,永吉股份,423510000,228066000,2016-12-23
603059,倍加洁,80000000,20000000,2018-03-02
603060,国检集团,220000000,63827500,2016-11-09
603063,禾望电气,420000000,255300000,2017-07-28
603066,音飞储存,302341700,165702900,2015-06-11
603067,振华股份,308000000,155609300,2016-09-13
603069,海汽集团,316000000,173800000,2016-07-12
603076,乐惠国际,74500000,26849200,2017-11-13
603077,和邦生物,8831250200,8831250200,2012-07-31
603078,江化微,84000000,47876899,2017-04-10
603079,圣达生物,112000000,36511600,2017-08-23
603080,新疆火炬,141500000,35500000,2018-01-03
603081,大丰实业,401800000,77726300,2017-04-20
603083,剑桥科技,128780000,55251100,2017-11-10
603085,天成自控,290986100,147487500,2015-06-30
603086,先达股份,112000000,72513700,2017-05-11
603088,宁波精达,112000000,112000000,2014-11-11
603089,正裕工业,106670000,31454899,2017-01-26
603090,宏盛股份,100000000,40681300,2016-08-31
603096,新经典,135308000,53918000,2017-04-25
603098,森特股份,480012000,75012000,2016-12-16
603099,长白山,266670000,266670000,2014-08-22
603100,川仪股份,395000000,258625099,2014-08-05
603101,汇嘉时代,240000000,72000000,2016-05-06
603103,横店影视,453000000,53000000,2017-10-12
603105,芯能科技,500000000,88000000,2018-07-09
603106,恒银金融,308000000,130350000,2017-09-20
603108,润达医疗,579534100,508282100,2015-05-27
603110,东方材料,143733400,54300500,2017-10-13
603111,康尼机电,993275500,738383300,2014-08-01
603113,金能科技,675939500,331865300,2017-05-11
