 标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
600077,宋都股份,134539231,29882262,30659382,66400,31800,38100
600078,澄星股份,281184211,33992954,39008476,34200,34000,34000
600079,人福医药,585879770,40450565,55346868,150378,28600,47196
600085,同仁堂,327847242,20554417,49003051,646558,285900,287200
600086,东方金钰,383069276,25137613,21721658,40981,76498,68618
600089,特变电工,1484474631,167551040,140058347,1305690,3476165,3366265
600094,大名城,117964350,8840718,7917704,94743,1500,0
600096,云天化,251135130,26267540,34997189,364881,75899,109400
600100,同方股份,1673832055,108328300,109529225,833027,383052,396252
600104,上汽集团,721160620,55408773,47755310,3609469,679888,779390
600107,美尔雅,272314523,16726605,18803829,54200,0,1100
600108,亚盛集团,1089791556,82727051,111945258,364400,2359803,2429703
600109,国金证券,2244425781,237142756,290683104,368691,2442030,2447330
600110,中科英华,474283738,92324302,61801102,28900,0,0
600111,包钢稀土,2467703007,157112788,179472053,432715,1380151,1414116
600113,浙江东日,84987475,0,698420,31700,0,0
600115,东方航空,174247825,21101407,22941773,1370497,1768300,1771300
600116,三峡水利,249088212,34325183,27507456,53700,73000,82000
600118,中国卫星,1968839379,243126091,292604790,383702,805214,804314
600119,长江投资,541195763,119923332,99734785,11500,334763,334763
600120,浙江东方,641983298,28067939,31296063,75784,29400,29400
600123,兰花科创,403518133,54938347,58591733,343071,983300,888754
600125,铁龙物流,428255598,58522385,60140227,490700,1013376,904276
600132,重庆啤酒,243458558,15665266,19137013,143526,77600,61600
600138,中青旅,800052803,70821185,46377896,93355,12100,16560
600139,西部资源,933916275,78627068,54955913,100700,36700,36000
600141,兴发集团,325672201,24015386,21409180,69300,4300,0
600143,金发科技,560482886,52377367,66462183,866527,551800,594700
600146,大元股份,252322750,0,591791,53100,0,0
600149,廊坊发展,574922055,124077277,136970566,88300,146000,147700
600150,中国船舶,1142970823,347784962,176566403,611503,1077780,1073180
600151,航天机电,759320167,89232001,100394726,28600,0,3100
600153,建发股份,663649257,68099552,69355008,621254,231600,193000
600157,永泰能源,1535954878,234745479,239428384,771300,509300,530200
600158,中体产业,1142366301,249383717,255371584,201900,234000,236500
600160,巨化股份,394001455,26922522,37157717,157318,29400,73960
600161,天坛生物,676113109,34304411,41046554,12100,62836,62836
600163,福建南纸,93701557,0,1263572,142400,0,0
600166,福田汽车,505666887,66416852,52920146,351400,1779335,1758635
600169,太原重工,495318687,75880495,74685990,265520,1015449,1005029
600170,上海建工,242066981,27771056,46281431,217160,530000,557300
600175,美都控股,767572159,55826849,37946246,34305,0,0
600176,中国玻纤,277168143,19135172,26168187,14026,0,0
600177,雅戈尔,731957177,51460738,54002869,1037529,188400,219900
600179,黑化股份,178997299,22725930,18209377,90100,11900,4800
600185,格力地产,311624114,22349625,19029062,105000,4500,100
600186,莲花味精,240521773,15616501,14483186,99100,0,10100
600187,国中水务,1003880575,98116051,57855392,30700,0,0
600188,兖州煤业,191186642,22423616,21379558,372007,458507,461907
600193,创兴资源,340318898,55798526,52414562,58400,130700,131100
600196,复星医药,1465683978,102227941,144010970,645364,276650,272254
600197,伊力特,164936205,12691134,24041485,21200,3700,0
600198,大唐电信,746697912,77495620,82077428,12500,0,0
600199,金种子酒,215984646,0,6379791,38100,0,0
600200,江苏吴中,583025274,42360429,42261157,16500,9400,0
600206,有研新材,487311710,21686950,23972622,33553,17600,28900
600208,新湖中宝,300366239,21922971,25928364,978961,222300,277500
600209,罗顿发展,309406781,41533437,29643242,37900,533960,535569
600216,浙江医药,441994606,70105596,39124513,158700,125900,209114
600218,全柴动力,395815418,35900240,31127270,52500,200,0
600219,南山铝业,599349212,48678066,80339398,500101,901700,923800
600221,海南航空,309508349,57926722,56315067,895896,5924300,6345500
600223,鲁商置业,139746150,5427487,9583802,76600,0,0
600225,天津松江,254302051,84509546,79902061,71000,145300,145300
600229,青岛碱业,182336318,0,2810526,36200,0,0
600230,沧州大化,209223448,13275926,13876607,18800,0,0
600239,云南城投,377709353,28247805,36405038,123000,73600,60800
600240,华业地产,698292679,52387152,48416316,254700,183800,186000
600251,冠农股份,295466631,22759854,23413704,3100,0,0
600252,中恒集团,920741995,54785374,52044292,537689,70900,124100
