标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
600060,海信电器,661723366,8857189,11335183,250664,125273,110073
600062,华润双鹤,212826258,3968880,6750348,140375,11200,23167
600063,皖维高新,211628031,6527294,7421380,60600,10000,0
600066,宇通客车,336050949,4711034,8349194,682074,180498,107798
600067,冠城大通,302857735,10942710,14333641,160800,55200,27300
600068,葛洲坝,329854186,4333834,2338500,663443,144200,96322
600077,宋都股份,112647015,1974642,3175090,27100,0,0
600078,澄星股份,160632604,1765539,1661731,53900,10000,0
600079,人福医药,264655655,11055865,13211823,250205,83107,69690
600085,同仁堂,489530654,3282231,10507928,393007,57700,38500
600086,东方金钰,375430403,9151737,3748122,76971,0,2100
600089,特变电工,1321159420,22306343,23879146,647986,727800,862621
600094,大名城,124259730,4317954,2353584,74700,4000,2500
600096,云天化,231486146,3433616,2855053,182141,23100,20100
600100,同方股份,1607036275,32267268,40256296,390866,1132117,1138917
600104,上汽集团,759553862,64411705,15384407,2915365,219876,546395
600107,美尔雅,175233844,3283049,2017285,5100,0,0
600108,亚盛集团,873881558,18235292,17116081,112200,628886,687986
600109,国金证券,1851924930,94050717,70138059,385803,546603,540503
600110,中科英华,273338037,16629220,5497635,31700,0,0
600111,包钢稀土,1710291003,198576911,180183797,670339,1518312,1616288
600113,浙江东日,166016404,0,1399687,31700,0,0
600115,东方航空,88334563,1634665,1741871,114400,5000,112900
600116,三峡水利,137347101,3506877,2219372,4100,0,0
600118,中国卫星,968907273,26397217,36012733,302160,184516,190773
600119,长江投资,268441910,14632539,11463093,11500,0,0
600120,浙江东方,477994287,12638946,10699417,23316,22000,26000
600123,兰花科创,339758286,15272697,14810248,221173,986100,990700
600125,铁龙物流,330869802,7950875,6447810,47058,3000,25800
600132,重庆啤酒,225288916,19472648,13533746,142772,3200,26900
600138,中青旅,363424844,10218528,10358908,130905,7400,12730
600139,西部资源,617025159,21239340,19973521,73900,19500,11400
600141,兴发集团,285702253,4037353,3941497,17100,10500,0
600143,金发科技,479707088,7850943,9476112,161582,178840,162285
600146,大元股份,282613307,20390700,17375277,56600,0,3200
600149,廊坊发展,564738679,113404382,92200637,99750,107300,104400
600150,中国船舶,493716006,14942060,20899060,636758,85538,119538
600151,航天机电,373906257,20569046,13411053,32100,1400,6800
600153,建发股份,491747073,11829562,15784353,195354,1171381,1071881
600157,永泰能源,230525426,12862879,13789678,230400,2473800,2411200
600158,中体产业,1110124951,40198793,44758920,187600,11700,7600
600160,巨化股份,294498002,9294303,8579584,187418,113189,116789
600161,天坛生物,454387400,8665663,10702387,16700,18700,2200
600163,福建南纸,137433577,2749970,2016573,127300,0,0
600166,福田汽车,441117840,6386596,4940155,244671,379549,477117
600169,太原重工,207200784,1809643,3295875,139300,0,0
600170,上海建工,176583770,1913511,5843379,197621,21500,31655
600175,美都控股,739037703,15202083,12463937,36715,13500,0
600176,中国玻纤,168344551,2436118,1256099,14226,0,0
600177,雅戈尔,466585720,5699988,8164324,519035,6700,6525
600179,黑化股份,125493916,2201666,2862217,71200,6400,6400
600185,格力地产,240390677,2930546,1420554,69200,16400,12500
600186,莲花味精,79916515,845579,344544,0,0,0
600187,国中水务,475334628,18889457,15813491,7600,7600,3000
600188,兖州煤业,176103398,33733371,28799078,264052,1090121,1048876
600193,创兴资源,165653450,9602058,6701578,45289,78989,82400
600196,复星医药,970877033,19588554,15784099,738224,142956,190150
600197,伊力特,126736472,2605050,1809633,23000,10982,10982
600198,大唐电信,465461041,36166145,29439483,12500,0,0
600199,金种子酒,209944689,11795826,15872677,17700,115358,129208
600200,江苏吴中,380138255,5484232,8338788,6900,0,0
600206,有研新材,565527507,6534696,6812306,25453,4000,1400
600208,新湖中宝,204275919,2629640,3663941,785731,187800,313300
600209,罗顿发展,258632745,9905846,10429479,44900,148100,148100
600216,浙江医药,386118690,5417340,9731172,252858,39900,40700
600218,全柴动力,240474089,9418728,5342850,30400,0,0
600219,南山铝业,429275172,6271401,17757599,315673,75000,55928
600221,海南航空,264911203,8381937,4969379,81200,300,20100
600223,鲁商置业,71930316,990348,1401578,86100,0,0
600225,天津松江,232730809,9342789,9935437,62900,21900,21900
600229,青岛碱业,191633220,4693489,3098597,5000,5000,0
600230,沧州大化,143680037,2896237,2015912,6500,3600,10300
600239,云南城投,279701479,1633272,3385563,40304,0,0
600240,华业地产,321669669,13594980,17386538,252900,619713,582713
600251,冠农股份,194549508,9980512,14147143,600,200,200
600252,中恒集团,893889068,83304744,66444603,327064,1130952,1080452
600256,广汇能源,3353454160,46217420,45743710,1270330,1004446,1099246
600257,大湖股份,234981375,7741525,8066518,45000,0,1800
600259,广晟有色,435921261,81442651,65275785,157328,186714,177364
600260,凯乐科技,218875400,0,951651,26270,0,0
600261,阳光照明,236971731,35309035,15990684,33800,354138,330238
600266,北京城建,361541375,14596586,31217811,206550,55500,46870
600267,海正药业,589672889,7130107,18418496,185814,12300,26450
600271,航天信息,1148081119,34806913,28917437,374651,212601,194272
600276,恒瑞医药,222651137,8092961,16601522,855206,66509,102934
600277,亿利能源,119854427,2483130,2002380,81607,34461,54262
600285,羚锐制药,239504772,59244660,34079789,14800,2900,20200
600288,大恒科技,381596537,26981792,23726401,112600,77800,64500
600289,亿阳信通,457061456,15074404,10923181,19300,8000,8000
600292,中电远达,371971192,28608076,31505558,7007,43000,49300
600293,三峡新材,137742052,4726671,2609818,39228,0,0
600298,安琪酵母,282004723,5900526,5273359,16201,5600,5600
600300,维维股份,152419806,4924809,4486076,47100,0,200
600309,万华化学,609561268,4199684,9504767,686845,194829,193684
600311,荣华实业,114889340,4019372,3978312,52700,21700,0
600312,平高电气,561598058,30495142,25682793,102249,31599,49499
600315,上海家化,671959115,21094788,17289497,380909,146760,121892
600316,洪都航空,675411906,27383307,28148165,52000,198801,219501
600318,巢东股份,127864565,4736903,5435664,2600,0,0
600321,国栋建设,141368653,1273774,908882,0,0,0
600325,华发股份,438442763,5398805,5310019,47900,17200,17200
600329,中新药业,217649825,0,2845585,25000,0,0
600332,白云山,1233033030,36082029,58698532,325325,294065,290243
600333,长春燃气,146734995,2102509,4521822,3800,4300,2100
600336,澳柯玛,169087500,2982854,1929092,83300,0,0
600340,华夏幸福,752267956,10136882,12690038,439343,437137,441537
600348,阳泉煤业,269238805,15103863,15512396,440927,1255383,1239556
600352,浙江龙盛,1612119168,34489585,30879560,199494,32100,51042
600354,敦煌种业,151050797,12667611,13310306,33600,0,3000
600362,江西铜业,487596858,14402759,11870554,581368,229910,323948
600366,宁波韵升,289542266,10354807,9418205,11100,293203,297003
600369,西南证券,361692936,5627379,5894499,288561,30100,42400
600372,中航电子,691379652,28514099,46615847,325034,23500,15263
600373,中文传媒,283406946,115386391,71202056,8440,19200,19200
600375,华菱星马,132750812,10383780,7988521,100,16100,26700
600376,首开股份,484394849,9330673,8791565,309835,241800,173696
600383,金地集团,304988673,6055216,9383107,3719402,612224,374435
600387,海越股份,528391993,17661677,10761522,10049,6200,6400
600388,龙净环保,710684361,33608440,26061339,12600,96200,99100
600389,江山股份,159332533,19586199,16792434,19200,2000,2000
600390,金瑞科技,383336598,0,4945915,20000,0,0
600392,盛和资源,308529088,79056391,57052650,9700,153007,153007
600395,盘江股份,261911763,9671364,11959813,309358,991610,978643
600406,国电南瑞,1457858093,16804155,19151320,418447,98100,114380
600408,安泰集团,72915793,2090664,1869590,103271,41600,36600
600410,华胜天成,640530764,119213630,101026189,31500,17200,17200
600415,小商品城,256839320,2582447,6544175,249376,276500,249233
600418,江淮汽车,466768511,0,885136,277526,0,0
600422,昆明制药,224518812,7179530,5409245,24000,14471,13971
600425,青松建化,242597266,13648039,11181002,97800,23500,23500
600426,华鲁恒升,455405078,35218831,18939687,86600,4200,0
600433,冠豪高新,1142079550,17135315,10162655,2900,0,0
600435,北方导航,362013234,13695420,16661715,51400,32200,40100
600436,片仔癀,372176086,11265332,15449600,34550,3000,3100
600446,金证股份,502884862,19921215,25716754,6100,23300,23300
600449,宁夏建材,181742560,2610179,3461363,14900,0,0
600456,宝钛股份,242343065,25746434,28421369,89689,18000,19473
600458,时代新材,265610338,6429736,6397832,17636,6000,9000
600460,士兰微,277033916,58579082,53736012,37100,22400,24100
600467,好当家,175140251,5558316,4760137,119182,77300,62800
600470,六国化工,165315125,3493572,5208357,1100,0,3200
600478,科力远,836161357,11938610,22543402,33014,23000,23800
600481,双良节能,294086020,2004022,2946507,14100,7300,0
